HEADER-DHCPOPTION,STATUS,OBJECTTYPE,OBJECT,OPTIONSPACE,OPTIONCODE,OPTIONVALUE
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.11.100.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:36:33:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.11.102.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:36:33:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.11.103.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:36:33:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.11.104.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:36:33:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.11.105.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:36:33:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.11.106.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:36:33:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.11.107.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:36:33:30
DHCPOPTION,INCOMPATIBLE,NetreeWORK,10.222.166.0/23,DHCP,43,DK-OKQ8:NewAP,10.200.2.192,9Jl9hFlI
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.10.0.0/16,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:36:33:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.11.2.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:34:31:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.11.3.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:34:31:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.11.4.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:34:31:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.11.6.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:34:31:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.11.7.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:34:31:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.11.8.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:34:31:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.11.9.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:34:31:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.11.10.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:34:31:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.11.11.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:34:31:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.111.0.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:36:33:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.222.110.0/28,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0e:31:30:2e:32:32:32:2e:32:33:30:2e:32:30:32:04:05:72:6f:6e:30:31:05:03:31:31:30:00
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.222.110.16/28,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0e:31:30:2e:32:32:32:2e:32:33:30:2e:32:30:32:04:05:61:61:72:30:31:05:03:31:31:30:00:00
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.222.200.0/24,DHCP,43,11:45:72:69:63:73:73:6f:6e:20:49:50:2d:50:68:6f:6e:65:01:0e:31:30:2e:32:32:32:2e:32:33:30:2e:32:30:32:04:05:62:69:72:30:31:05:03:32:33:31:00
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.222.201.0/24,DHCP,43,11:45:72:69:63:73:73:6f:6e:20:49:50:2d:50:68:6f:6e:65:01:0e:31:30:2e:32:32:32:2e:32:33:30:2e:32:30:32:04:05:62:69:72:30:31:05:03:32:33:31:00
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.222.205.0/24,DHCP,43,11:45:72:69:63:73:73:6f:6e:20:49:50:2d:50:68:6f:6e:65:01:0e:31:30:2e:32:32:32:2e:32:33:30:2e:32:30:32:04:05:62:69:72:30:31:05:03:32:33:32:00
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.222.206.0/24,DHCP,43,11:45:72:69:63:73:73:6f:6e:20:49:50:2d:50:68:6f:6e:65:01:0e:31:30:2e:32:32:32:2e:32:33:30:2e:32:30:32:04:05:62:69:72:30:31:05:03:32:33:32:00
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.222.225.0/24,DHCP,43,11:45:72:69:63:73:73:6f:6e:20:49:50:2d:50:68:6f:6e:65:01:0e:31:30:2e:32:32:32:2e:32:33:30:2e:32:30:32:04:05:62:69:72:30:31:05:03:32:33:36:00
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.222.226.0/24,DHCP,43,11:45:72:69:63:73:73:6f:6e:20:49:50:2d:50:68:6f:6e:65:01:0e:31:30:2e:32:32:32:2e:32:33:30:2e:32:30:32:04:05:62:69:72:30:31:05:03:32:33:36:00
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,172.26.7.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0e:31:30:2e:32:32:32:2e:32:33:30:2e:32:30:32:04:05:61:61:72:30:31:05:03:31:31:30:00
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.111.2.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:34:31:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.111.30.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:34:31:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.111.40.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:34:31:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.111.60.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:34:31:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.111.70.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:34:31:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.111.80.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:34:31:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.111.90.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:34:31:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.111.100.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:34:31:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.111.110.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:34:31:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,192.168.80.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:76:61:65:30:32:05:03:36:34:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.111.1.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:34:31:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.11.101.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:36:33:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.11.12.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:36:33:31
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.16.31.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:36:33:31
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.6.19.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:36:33:31
DHCPOPTION,INCOMPATIBLE,FIXEDADDRESS,10.11.4.10,DHCP,43,SE-OKQ8:MLM,10.200.2.192,9Jl9hFlI
DHCPOPTION,INCOMPATIBLE,FIXEDADDRESS,10.11.4.11,DHCP,43,SE-OKQ8:MLM,10.200.2.192,9Jl9hFlI
DHCPOPTION,INCOMPATIBLE,FIXEDADDRESS,10.11.4.12,DHCP,43,SE-OKQ8:MLM,10.200.2.192,9Jl9hFlI
DHCPOPTION,INCOMPATIBLE,FIXEDADDRESS,10.11.4.13,DHCP,43,SE-OKQ8:MLM,10.200.2.192,9Jl9hFlI
DHCPOPTION,INCOMPATIBLE,FIXEDADDRESS,10.11.4.14,DHCP,43,SE-OKQ8:MLM,10.200.2.192,9Jl9hFlI
DHCPOPTION,INCOMPATIBLE,FIXEDADDRESS,10.11.4.17,DHCP,43,SE-OKQ8:MLM,10.200.2.192,9Jl9hFlI
DHCPOPTION,INCOMPATIBLE,FIXEDADDRESS,10.11.4.15,DHCP,43,SE-OKQ8:MLM,10.200.2.192,9Jl9hFlI
DHCPOPTION,INCOMPATIBLE,FIXEDADDRESS,10.11.3.10,DHCP,43,SE-OKQ8:GBG,10.200.2.192,9Jl9hFlI
DHCPOPTION,INCOMPATIBLE,FIXEDADDRESS,10.11.3.11,DHCP,43,SE-OKQ8:GBG,10.200.2.192,9Jl9hFlI
DHCPOPTION,INCOMPATIBLE,FIXEDADDRESS,10.11.3.12,DHCP,43,SE-OKQ8:GBG,10.200.2.192,9Jl9hFlI
DHCPOPTION,INCOMPATIBLE,FIXEDADDRESS,10.11.3.13,DHCP,43,SE-OKQ8:GBG,10.200.2.192,9Jl9hFlI
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.11.5.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:36:33:31
