HEADER-DHCPOPTION,STATUS,OBJECTTYPE,OBJECT,OPTIONSPACE,OPTIONCODE,OPTIONVALUE
HEADER-DHCPNETWORK,STATUS,OBJECT
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.206.20.0/22,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.124.7.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.206.24.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.206.37.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.206.38.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.206.39.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.11.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.13.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.14.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.23.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.24.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.28.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.32.0/22,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.29.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.101.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.106.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.107.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.124.5.128/25,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.12.0/25,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.12.128/25,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.15.0/25,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.16.128/25,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.21.0/25,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.22.0/25,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.22.128/25,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.102.0/25,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.102.128/25,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.111.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.114.0/23,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.113.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.117.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.119.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.131.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.133.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.134.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.137.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.138.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.141.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.142.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.143.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.144.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.145.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.146.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.147.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.148.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.151.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.152.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.153.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.154.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.155.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.180.0/23,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.184.0/23,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.190.0/23,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.192.0/23,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.206.0/23,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.220.0/23,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.222.0/23,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.156.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.157.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.158.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.162.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.163.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.164.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.175.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.183.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.186.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
DHCPOPTION,VALIDATION_NEEDED,NETWORK,10.207.209.0/24,DHCP,43,31:30:2e:32:31:32:2e:31:2e:31:30:31
